empresa;uc;mes_ref;consumo;injetado;saldo;Tipo_de_Instalacao;Custo_de_Disponibilidade
Empresa W;10030002;2024-05-01;2009.14;1979.14;;Monofásico;30
Empresa W;10030002;2024-06-01;1202.86;898.66;;Monofásico;30
Empresa W;10030002;2024-07-01;1496.1;1466.1;;Monofásico;30
Empresa W;10030002;2024-08-01;1537.72;1507.72;;Monofásico;30
Empresa W;10030002;2024-09-01;1747.3;1565.2;;Monofásico;30
Empresa W;10030002;2024-10-01;2166.34;2136.34;;Monofásico;30
Empresa W;10030002;2024-11-01;2300.48;2270.48;;Monofásico;30
Empresa W;10030002;2024-12-01;2389.44;2359.44;7814.67;Monofásico;30
Empresa W;10030003;2023-01-01;1284.18;1234.18;;Bifásico;50
Empresa W;10030003;2023-02-01;1241.16;1191.16;;Bifásico;50
Empresa W;10030003;2023-03-01;1397.09;1347.09;;Bifásico;50
Empresa W;10030003;2023-04-01;1397.51;1134.96;;Bifásico;50
Empresa W;10030003;2023-05-01;1655.07;1605.07;;Bifásico;50
Empresa W;10030003;2023-06-01;972.32;896.22;;Bifásico;50
Empresa W;10030003;2023-07-01;879.74;829.74;;Bifásico;50
Empresa W;10030003;2023-08-01;932.09;810.73;;Bifásico;50
Empresa W;10030003;2023-09-01;1210.12;987.35;;Bifásico;50
Empresa W;10030003;2023-10-01;1550.51;1085.99;;Bifásico;50
Empresa W;10030003;2023-11-01;1565.69;1515.69;;Bifásico;50
Empresa W;10030003;2023-12-01;1624.44;1574.44;;Bifásico;50
Empresa W;10030003;2024-01-01;1301.58;1251.58;;Bifásico;50
Empresa W;10030003;2024-02-01;1263.39;1213.39;;Bifásico;50
Empresa W;10030003;2024-03-01;1432.8;1382.8;;Bifásico;50
Empresa W;10030003;2024-04-01;1418.15;1368.15;;Bifásico;50
Empresa W;10030003;2024-05-01;1673.43;1623.43;;Bifásico;50
Empresa W;10030003;2024-06-01;991.51;941.51;;Bifásico;50
Empresa W;10030003;2024-07-01;1211.57;1161.57;;Bifásico;50
Empresa W;10030003;2024-08-01;1170.01;1120.01;;Bifásico;50
Empresa W;10030003;2024-09-01;1488.31;1146.31;;Bifásico;50
Empresa W;10030003;2024-10-01;1814.05;1764.05;;Bifásico;50
Empresa W;10030003;2024-11-01;1868.74;1818.74;;Bifásico;50
Empresa W;10030003;2024-12-01;1917.1;1551.02;0.0;Bifásico;50
Empresa W;10030004;2023-01-01;1589.6;1489.6;;Trifásico;100
Empresa W;10030004;2023-02-01;1536.35;1306.19;;Trifásico;100
Empresa W;10030004;2023-03-01;1729.37;1629.37;;Trifásico;100
Empresa W;10030004;2023-04-01;1729.88;1629.88;;Trifásico;100
Empresa W;10030004;2023-05-01;2048.7;1948.7;;Trifásico;100
Empresa W;10030004;2023-06-01;1203.58;1103.58;;Trifásico;100
Empresa W;10030004;2023-07-01;1088.98;988.98;;Trifásico;100
Empresa W;10030004;2023-08-01;1153.77;1053.77;;Trifásico;100
Empresa W;10030004;2023-09-01;1497.92;1397.92;;Trifásico;100
Empresa W;10030004;2023-10-01;1919.28;1426.09;;Trifásico;100
Empresa W;10030004;2023-11-01;1938.06;1747.59;;Trifásico;100
Empresa W;10030004;2023-12-01;2010.79;1774.53;;Trifásico;100
Empresa W;10030004;2024-01-01;1637.62;1145.1;;Trifásico;100
Empresa W;10030004;2024-02-01;1585.64;1485.64;;Trifásico;100
Empresa W;10030004;2024-03-01;1756.53;1656.53;;Trifásico;100
Empresa W;10030004;2024-04-01;1777.26;1677.26;;Trifásico;100
Empresa W;10030004;2024-05-01;2074.4;1974.4;;Trifásico;100
Empresa W;10030004;2024-06-01;1238.42;1138.42;;Trifásico;100
Empresa W;10030004;2024-07-01;1507.41;1407.41;;Trifásico;100
Empresa W;10030004;2024-08-01;1473.29;1337.57;;Trifásico;100
Empresa W;10030004;2024-09-01;1855.06;1668.03;;Trifásico;100
Empresa W;10030004;2024-10-01;2377.31;2094.75;;Trifásico;100
Empresa W;10030004;2024-11-01;2213.93;2113.93;;Trifásico;100
Empresa W;10030004;2024-12-01;2472.57;2372.57;9397.24;Trifásico;100
Empresa W;10030005;2023-01-01;481.41;381.41;;Trifásico;100
Empresa W;10030005;2023-02-01;465.28;365.28;;Trifásico;100
Empresa W;10030005;2023-03-01;523.74;423.74;;Trifásico;100
Empresa W;10030005;2023-04-01;523.89;423.89;;Trifásico;100
Empresa W;10030005;2023-05-01;620.44;420.1;;Trifásico;100
Empresa W;10030005;2023-06-01;364.5;215.95;;Trifásico;100
Empresa W;10030005;2023-07-01;329.79;229.79;;Trifásico;100
Empresa W;10030005;2023-08-01;349.42;174.95;;Trifásico;100
Empresa W;10030005;2023-09-01;453.64;344.16;;Trifásico;100
Empresa W;10030005;2023-10-01;581.25;360.31;;Trifásico;100
Empresa W;10030005;2023-11-01;586.94;486.94;;Trifásico;100
Empresa W;10030005;2023-12-01;608.96;379.22;;Trifásico;100
Empresa W;10030005;2024-01-01;493.91;350.97;;Trifásico;100
Empresa W;10030005;2024-02-01;479.88;379.88;;Trifásico;100
Empresa W;10030005;2024-03-01;531.34;431.34;;Trifásico;100
Empresa W;10030005;2024-04-01;530.91;430.91;;Trifásico;100
Empresa W;10030005;2024-05-01;630.51;530.51;;Trifásico;100
Empresa W;10030005;2024-06-01;373.22;273.22;;Trifásico;100
Empresa W;10030005;2024-07-01;473.94;373.94;;Trifásico;100
Empresa W;10030005;2024-08-01;458.8;358.8;;Trifásico;100
Empresa W;10030005;2024-09-01;557.87;376.84;;Trifásico;100
Empresa W;10030005;2024-10-01;677.07;577.07;;Trifásico;100
Empresa W;10030005;2024-11-01;733.19;633.19;;Trifásico;100
Empresa W;10030005;2024-12-01;743.83;643.83;3602.42;Trifásico;100
Empresa W;10030006;2023-01-01;1645.22;1615.22;;Monofásico;30
Empresa W;10030006;2023-02-01;1590.11;1560.11;;Monofásico;30
Empresa W;10030006;2023-03-01;1789.87;1759.87;;Monofásico;30
Empresa W;10030006;2023-04-01;1790.41;1760.41;;Monofásico;30
Empresa W;10030006;2023-05-01;2120.38;2090.38;;Monofásico;30
Empresa W;10030006;2023-06-01;1245.69;1215.69;;Monofásico;30
Empresa W;10030006;2023-07-01;1127.08;1097.08;;Monofásico;30
Empresa W;10030006;2023-08-01;1194.14;1164.14;;Monofásico;30
Empresa W;10030006;2023-09-01;1550.33;1520.33;;Monofásico;30
Empresa W;10030006;2023-10-01;1986.43;1956.43;;Monofásico;30
Empresa W;10030006;2023-11-01;2005.87;1975.87;;Monofásico;30
Empresa W;10030006;2023-12-01;2081.14;2051.14;;Monofásico;30
Empresa W;10030006;2024-01-01;1684.69;1654.69;;Monofásico;30
Empresa W;10030006;2024-02-01;1631.59;1601.59;;Monofásico;30
Empresa W;10030006;2024-03-01;1833.82;1803.82;;Monofásico;30
Empresa W;10030006;2024-04-01;1809.36;1779.36;;Monofásico;30
Empresa W;10030006;2024-05-01;2169.96;2139.96;;Monofásico;30
Empresa W;10030006;2024-06-01;1296.03;1266.03;;Monofásico;30
Empresa W;10030006;2024-07-01;1593.58;1563.58;;Monofásico;30
Empresa W;10030006;2024-08-01;1720.56;1690.56;;Monofásico;30
Empresa W;10030006;2024-09-01;1898.73;1640.87;;Monofásico;30
Empresa W;10030006;2024-10-01;2368.75;2338.75;;Monofásico;30
Empresa W;10030006;2024-11-01;2393.42;2030.2;;Monofásico;30
Empresa W;10030006;2024-12-01;2415.83;1877.52;0.0;Monofásico;30
Empresa W;10030007;2023-01-01;1007.74;977.74;;Monofásico;30
Empresa W;10030007;2023-02-01;973.98;943.98;;Monofásico;30
Empresa W;10030007;2023-03-01;1096.34;1066.34;;Monofásico;30
Empresa W;10030007;2023-04-01;1096.67;1066.67;;Monofásico;30
Empresa W;10030007;2023-05-01;1298.78;1093.65;;Monofásico;30
Empresa W;10030007;2023-06-01;763.01;733.01;;Monofásico;30
Empresa W;10030007;2023-07-01;690.36;660.36;;Monofásico;30
Empresa W;10030007;2023-08-01;731.44;701.44;;Monofásico;30
Empresa W;10030007;2023-09-01;949.61;677.28;;Monofásico;30
Empresa W;10030007;2023-10-01;1216.73;1186.73;;Monofásico;30
Empresa W;10030007;2023-11-01;1228.64;1198.64;;Monofásico;30
Empresa W;10030007;2023-12-01;1274.75;1244.75;;Monofásico;30
Empresa W;10030007;2024-01-01;1028.77;998.77;;Monofásico;30
Empresa W;10030007;2024-02-01;995.29;770.68;;Monofásico;30
Empresa W;10030007;2024-03-01;1107.94;1077.94;;Monofásico;30
Empresa W;10030007;2024-04-01;1108.22;1078.22;;Monofásico;30
Empresa W;10030007;2024-05-01;1325.11;1295.11;;Monofásico;30
Empresa W;10030007;2024-06-01;781.34;751.34;;Monofásico;30
Empresa W;10030007;2024-07-01;939.69;909.69;;Monofásico;30
Empresa W;10030007;2024-08-01;982.56;952.56;;Monofásico;30
Empresa W;10030007;2024-09-01;1228.08;1198.08;;Monofásico;30
Empresa W;10030007;2024-10-01;1544.24;1513.63;;Monofásico;30
Empresa W;10030007;2024-11-01;1462.2;1432.2;;Monofásico;30
Empresa W;10030007;2024-12-01;1456.06;1426.06;5110.2;Monofásico;30
Empresa W;10030008;2023-01-01;721.32;478.38;;Bifásico;50
Empresa W;10030008;2023-02-01;697.15;584.28;;Bifásico;50
Empresa W;10030008;2023-03-01;784.74;627.05;;Bifásico;50
Empresa W;10030008;2023-04-01;784.97;734.97;;Bifásico;50
Empresa W;10030008;2023-05-01;929.64;879.64;;Bifásico;50
Empresa W;10030008;2023-06-01;546.15;496.15;;Bifásico;50
Empresa W;10030008;2023-07-01;494.15;444.15;;Bifásico;50
Empresa W;10030008;2023-08-01;523.55;473.55;;Bifásico;50
Empresa W;10030008;2023-09-01;679.72;629.72;;Bifásico;50
Empresa W;10030008;2023-10-01;870.91;820.91;;Bifásico;50
Empresa W;10030008;2023-11-01;879.44;829.44;;Bifásico;50
Empresa W;10030008;2023-12-01;912.44;862.44;;Bifásico;50
Empresa W;10030008;2024-01-01;744.67;694.67;;Bifásico;50
Empresa W;10030008;2024-02-01;720.41;670.41;;Bifásico;50
Empresa W;10030008;2024-03-01;796.06;541.63;;Bifásico;50
Empresa W;10030008;2024-04-01;801.51;751.51;;Bifásico;50
Empresa W;10030008;2024-05-01;944.3;894.3;;Bifásico;50
Empresa W;10030008;2024-06-01;558.07;508.07;;Bifásico;50
Empresa W;10030008;2024-07-01;703.41;631.28;;Bifásico;50
Empresa W;10030008;2024-08-01;677.04;627.04;;Bifásico;50
Empresa W;10030008;2024-09-01;892.03;697.93;;Bifásico;50
Empresa W;10030008;2024-10-01;993.59;943.59;;Bifásico;50
Empresa W;10030008;2024-11-01;1094.96;843.46;;Bifásico;50
Empresa W;10030008;2024-12-01;1135.05;1085.05;5561.31;Bifásico;50
Empresa W;10030009;2023-01-01;464.3;434.3;;Monofásico;30
Empresa W;10030009;2023-02-01;448.75;418.75;;Monofásico;30
Empresa W;10030009;2023-03-01;505.12;475.12;;Monofásico;30
Empresa W;10030009;2023-04-01;505.27;359.23;;Monofásico;30
Empresa W;10030009;2023-05-01;598.4;568.4;;Monofásico;30
Empresa W;10030009;2023-06-01;351.55;282.36;;Monofásico;30
Empresa W;10030009;2023-07-01;318.07;288.07;;Monofásico;30
Empresa W;10030009;2023-08-01;337.0;307.0;;Monofásico;30
Empresa W;10030009;2023-09-01;437.52;407.52;;Monofásico;30
Empresa W;10030009;2023-10-01;560.59;530.59;;Monofásico;30
Empresa W;10030009;2023-11-01;566.08;536.08;;Monofásico;30
Empresa W;10030009;2023-12-01;587.32;557.32;;Monofásico;30
Empresa W;10030009;2024-01-01;470.1;440.1;;Monofásico;30
Empresa W;10030009;2024-02-01;463.0;418.31;;Monofásico;30
Empresa W;10030009;2024-03-01;518.27;440.14;;Monofásico;30
Empresa W;10030009;2024-04-01;518.7;488.7;;Monofásico;30
Empresa W;10030009;2024-05-01;604.43;574.43;;Monofásico;30
Empresa W;10030009;2024-06-01;358.58;328.58;;Monofásico;30
Empresa W;10030009;2024-07-01;440.8;410.8;;Monofásico;30
Empresa W;10030009;2024-08-01;418.36;314.0;;Monofásico;30
Empresa W;10030009;2024-09-01;567.1;537.1;;Monofásico;30
Empresa W;10030009;2024-10-01;683.9;653.9;;Monofásico;30
Empresa W;10030009;2024-11-01;642.76;434.27;;Monofásico;30
Empresa W;10030009;2024-12-01;728.32;698.32;2109.02;Monofásico;30
Empresa W;10030010;2023-01-01;2251.0;2201.0;;Bifásico;50
Empresa W;10030010;2023-02-01;2175.6;2125.6;;Bifásico;50
Empresa W;10030010;2023-03-01;2448.92;2393.58;;Bifásico;50
Empresa W;10030010;2023-04-01;2449.65;2262.55;;Bifásico;50
Empresa W;10030010;2023-05-01;2901.12;2851.12;;Bifásico;50
Empresa W;10030010;2023-06-01;1704.36;1654.36;;Bifásico;50
Empresa W;10030010;2023-07-01;1542.07;1492.07;;Bifásico;50
Empresa W;10030010;2023-08-01;1633.83;1583.83;;Bifásico;50
Empresa W;10030010;2023-09-01;2121.18;1904.64;;Bifásico;50
Empresa W;10030010;2023-10-01;2717.85;2667.85;;Bifásico;50
Empresa W;10030010;2023-11-01;2744.45;2694.45;;Bifásico;50
Empresa W;10030010;2023-12-01;2847.43;2797.43;;Bifásico;50
Empresa W;10030010;2024-01-01;2320.49;2270.49;;Bifásico;50
Empresa W;10030010;2024-02-01;2246.95;2196.95;;Bifásico;50
Empresa W;10030010;2024-03-01;2512.78;2296.29;;Bifásico;50
Empresa W;10030010;2024-04-01;2489.02;2439.02;;Bifásico;50
Empresa W;10030010;2024-05-01;2938.04;2888.04;;Bifásico;50
Empresa W;10030010;2024-06-01;1757.69;1707.69;;Bifásico;50
Empresa W;10030010;2024-07-01;2096.09;2046.09;;Bifásico;50
Empresa W;10030010;2024-08-01;2059.38;2009.38;;Bifásico;50
Empresa W;10030010;2024-09-01;2666.46;2616.46;;Bifásico;50
Empresa W;10030010;2024-10-01;3145.82;3095.82;;Bifásico;50
Empresa W;10030010;2024-11-01;3370.93;3320.93;;Bifásico;50
Empresa W;10030010;2024-12-01;3518.92;3468.92;9536.7;Bifásico;50
Empresa W;10030011;2023-01-01;605.92;363.37;;Trifásico;100
Empresa W;10030011;2023-02-01;585.63;485.63;;Trifásico;100
Empresa W;10030011;2023-03-01;659.2;559.2;;Trifásico;100
Empresa W;10030011;2023-04-01;659.39;517.75;;Trifásico;100
Empresa W;10030011;2023-05-01;780.92;680.92;;Trifásico;100
Empresa W;10030011;2023-06-01;458.78;294.45;;Trifásico;100
Empresa W;10030011;2023-07-01;415.09;315.09;;Trifásico;100
Empresa W;10030011;2023-08-01;439.79;339.79;;Trifásico;100
Empresa W;10030011;2023-09-01;570.98;338.88;;Trifásico;100
Empresa W;10030011;2023-10-01;731.59;519.57;;Trifásico;100
Empresa W;10030011;2023-11-01;738.75;638.75;;Trifásico;100
Empresa W;10030011;2023-12-01;766.47;666.47;;Trifásico;100
Empresa W;10030011;2024-01-01;623.05;523.05;;Trifásico;100
Empresa W;10030011;2024-02-01;599.36;499.36;;Trifásico;100
Empresa W;10030011;2024-03-01;677.12;577.12;;Trifásico;100
Empresa W;10030011;2024-04-01;669.87;569.87;;Trifásico;100
Empresa W;10030011;2024-05-01;788.11;688.11;;Trifásico;100
Empresa W;10030011;2024-06-01;476.84;376.84;;Trifásico;100
Empresa W;10030011;2024-07-01;549.85;389.03;;Trifásico;100
Empresa W;10030011;2024-08-01;622.89;522.89;;Trifásico;100
Empresa W;10030011;2024-09-01;708.18;608.18;;Trifásico;100
Empresa W;10030011;2024-10-01;904.36;804.36;;Trifásico;100
Empresa W;10030011;2024-11-01;902.51;754.63;;Trifásico;100
Empresa W;10030011;2024-12-01;936.2;836.2;4279.06;Trifásico;100
Empresa W;10030012;2023-01-01;2051.06;1951.06;;Trifásico;100
Empresa W;10030012;2023-02-01;1982.35;1882.35;;Trifásico;100
Empresa W;10030012;2023-03-01;2231.39;2131.39;;Trifásico;100
Empresa W;10030012;2023-04-01;2232.06;1809.32;;Trifásico;100
Empresa W;10030012;2023-05-01;2643.43;2543.43;;Trifásico;100
Empresa W;10030012;2023-06-01;1552.97;1452.97;;Trifásico;100
Empresa W;10030012;2023-07-01;1405.1;1305.1;;Trifásico;100
Empresa W;10030012;2023-08-01;1488.71;1388.71;;Trifásico;100
Empresa W;10030012;2023-09-01;1932.76;1322.99;;Trifásico;100
Empresa W;10030012;2023-10-01;2476.44;2376.44;;Trifásico;100
Empresa W;10030012;2023-11-01;2500.67;1949.09;;Trifásico;100
Empresa W;10030012;2023-12-01;2594.51;1994.51;;Trifásico;100
Empresa W;10030012;2024-01-01;2116.73;2016.73;;Trifásico;100
Empresa W;10030012;2024-02-01;2037.27;1937.27;;Trifásico;100
Empresa W;10030012;2024-03-01;2285.23;2185.23;;Trifásico;100
Empresa W;10030012;2024-04-01;2288.17;2188.17;;Trifásico;100
Empresa W;10030012;2024-05-01;2700.17;2548.86;;Trifásico;100
Empresa W;10030012;2024-06-01;1600.37;1500.37;;Trifásico;100
Empresa W;10030012;2024-07-01;1866.19;1766.19;;Trifásico;100
Empresa W;10030012;2024-08-01;2040.69;1455.15;;Trifásico;100
Empresa W;10030012;2024-09-01;2365.55;2265.55;;Trifásico;100
Empresa W;10030012;2024-10-01;2850.78;2656.92;;Trifásico;100
Empresa W;10030012;2024-11-01;2845.8;2429.39;;Trifásico;100
Empresa W;10030012;2024-12-01;2931.54;2831.54;11056.37;Trifásico;100
Empresa W;10030013;2023-01-01;1630.66;1580.66;;Bifásico;50
Empresa W;10030013;2023-02-01;1576.03;1318.62;;Bifásico;50
Empresa W;10030013;2023-03-01;1774.03;1724.03;;Bifásico;50
Empresa W;10030013;2023-04-01;1774.56;1644.08;;Bifásico;50
Empresa W;10030013;2023-05-01;2101.61;2051.61;;Bifásico;50
Empresa W;10030013;2023-06-01;1234.66;1184.66;;Bifásico;50
Empresa W;10030013;2023-07-01;1117.1;943.22;;Bifásico;50
Empresa W;10030013;2023-08-01;1183.57;1133.57;;Bifásico;50
Empresa W;10030013;2023-09-01;1536.61;1084.37;;Bifásico;50
Empresa W;10030013;2023-10-01;1968.85;1918.85;;Bifásico;50
Empresa W;10030013;2023-11-01;1988.12;1547.93;;Bifásico;50
Empresa W;10030013;2023-12-01;2062.72;2012.72;;Bifásico;50
Empresa W;10030013;2024-01-01;1669.55;1619.55;;Bifásico;50
Empresa W;10030013;2024-02-01;1603.49;1094.24;;Bifásico;50
Empresa W;10030013;2024-03-01;1814.61;1764.61;;Bifásico;50
Empresa W;10030013;2024-04-01;1799.28;1749.28;;Bifásico;50
Empresa W;10030013;2024-05-01;2123.44;2073.44;;Bifásico;50
Empresa W;10030013;2024-06-01;1281.22;1231.22;;Bifásico;50
Empresa W;10030013;2024-07-01;1594.35;1544.35;;Bifásico;50
Empresa W;10030013;2024-08-01;1460.97;1410.97;;Bifásico;50
Empresa W;10030013;2024-09-01;1881.37;1335.96;;Bifásico;50
Empresa W;10030013;2024-10-01;2497.55;2447.55;;Bifásico;50
Empresa W;10030013;2024-11-01;2435.3;2385.3;;Bifásico;50
Empresa W;10030013;2024-12-01;2429.02;2187.4;0.0;Bifásico;50
Empresa W;10030014;2023-01-01;330.93;300.93;;Monofásico;30
Empresa W;10030014;2023-02-01;319.84;289.84;;Monofásico;30
Empresa W;10030014;2023-03-01;360.03;330.03;;Monofásico;30
Empresa W;10030014;2023-04-01;360.13;273.7;;Monofásico;30
Empresa W;10030014;2023-05-01;426.51;396.51;;Monofásico;30
Empresa W;10030014;2023-06-01;250.57;220.57;;Monofásico;30
Empresa W;10030014;2023-07-01;226.71;147.38;;Monofásico;30
Empresa W;10030014;2023-08-01;240.2;196.18;;Monofásico;30
Empresa W;10030014;2023-09-01;311.84;281.84;;Monofásico;30
Empresa W;10030014;2023-10-01;399.56;369.56;;Monofásico;30
Empresa W;10030014;2023-11-01;403.47;373.47;;Monofásico;30
Empresa W;10030014;2023-12-01;418.61;388.61;;Monofásico;30
Empresa W;10030014;2024-01-01;338.67;308.67;;Monofásico;30
Empresa W;10030014;2024-02-01;326.86;296.86;;Monofásico;30
Empresa W;10030014;2024-03-01;367.4;337.4;;Monofásico;30
Empresa W;10030014;2024-04-01;368.33;338.33;;Monofásico;30
Empresa W;10030014;2024-05-01;436.24;299.51;;Monofásico;30
Empresa W;10030014;2024-06-01;259.15;229.15;;Monofásico;30
Empresa W;10030014;2024-07-01;314.68;284.68;;Monofásico;30
Empresa W;10030014;2024-08-01;325.76;295.76;;Monofásico;30
Empresa W;10030014;2024-09-01;383.99;353.99;;Monofásico;30
Empresa W;10030014;2024-10-01;482.79;452.79;;Monofásico;30
Empresa W;10030014;2024-11-01;501.11;471.11;;Monofásico;30
Empresa W;10030014;2024-12-01;517.15;444.36;0.0;Monofásico;30
Empresa W;10030015;2023-01-01;1821.41;1771.41;;Bifásico;50
Empresa W;10030015;2023-02-01;1760.39;1521.5;;Bifásico;50
Empresa W;10030015;2023-03-01;1981.55;1931.55;;Bifásico;50
Empresa W;10030015;2023-04-01;1982.14;1932.14;;Bifásico;50
Empresa W;10030015;2023-05-01;2347.45;2297.45;;Bifásico;50
Empresa W;10030015;2023-06-01;1379.09;1329.09;;Bifásico;50
Empresa W;10030015;2023-07-01;1247.77;1197.77;;Bifásico;50
Empresa W;10030015;2023-08-01;1322.02;1272.02;;Bifásico;50
Empresa W;10030015;2023-09-01;1716.36;1308.38;;Bifásico;50
Empresa W;10030015;2023-10-01;2199.15;2149.15;;Bifásico;50
Empresa W;10030015;2023-11-01;2220.68;2155.51;;Bifásico;50
Empresa W;10030015;2023-12-01;2304.01;2009.21;;Bifásico;50
Empresa W;10030015;2024-01-01;1870.11;1820.11;;Bifásico;50
Empresa W;10030015;2024-02-01;1811.85;1761.85;;Bifásico;50
Empresa W;10030015;2024-03-01;2029.91;1960.02;;Bifásico;50
Empresa W;10030015;2024-04-01;2005.1;1955.1;;Bifásico;50
Empresa W;10030015;2024-05-01;2383.03;2333.03;;Bifásico;50
Empresa W;10030015;2024-06-01;1414.63;1311.58;;Bifásico;50
Empresa W;10030015;2024-07-01;1811.19;1301.74;;Bifásico;50
Empresa W;10030015;2024-08-01;1753.79;1703.79;;Bifásico;50
Empresa W;10030015;2024-09-01;2199.08;1893.9;;Bifásico;50
Empresa W;10030015;2024-10-01;2671.62;2621.62;;Bifásico;50
Empresa W;10030015;2024-11-01;2532.39;2482.39;;Bifásico;50
Empresa W;10030015;2024-12-01;2795.03;2016.77;0.0;Bifásico;50
Empresa W;10030016;2023-01-01;2572.14;2472.14;;Trifásico;100
Empresa W;10030016;2023-02-01;2485.97;2385.97;;Trifásico;100
Empresa W;10030016;2023-03-01;2798.29;2698.29;;Trifásico;100
Empresa W;10030016;2023-04-01;2799.12;2699.12;;Trifásico;100
Empresa W;10030016;2023-05-01;3315.0;3215.0;;Trifásico;100
Empresa W;10030016;2023-06-01;1947.51;1619.02;;Trifásico;100
Empresa W;10030016;2023-07-01;1762.07;1662.07;;Trifásico;100
Empresa W;10030016;2023-08-01;1866.92;1766.92;;Trifásico;100
Empresa W;10030016;2023-09-01;2423.79;2323.79;;Trifásico;100
Empresa W;10030016;2023-10-01;3105.58;3005.58;;Trifásico;100
Empresa W;10030016;2023-11-01;3135.98;3035.98;;Trifásico;100
Empresa W;10030016;2023-12-01;3253.65;3153.65;;Trifásico;100
Empresa W;10030016;2024-01-01;2648.32;2548.32;;Trifásico;100
Empresa W;10030016;2024-02-01;2525.7;2425.7;;Trifásico;100
Empresa W;10030016;2024-03-01;2848.44;2748.44;;Trifásico;100
Empresa W;10030016;2024-04-01;2870.21;2770.21;;Trifásico;100
Empresa W;10030016;2024-05-01;3345.54;3245.54;;Trifásico;100
Empresa W;10030016;2024-06-01;1998.92;1898.92;;Trifásico;100
Empresa W;10030016;2024-07-01;2189.13;2089.13;;Trifásico;100
Empresa W;10030016;2024-08-01;2343.11;2243.11;;Trifásico;100
Empresa W;10030016;2024-09-01;2911.93;2811.93;;Trifásico;100
Empresa W;10030016;2024-10-01;3528.11;2623.25;;Trifásico;100
Empresa W;10030016;2024-11-01;3779.36;3679.36;;Trifásico;100
Empresa W;10030016;2024-12-01;4084.87;3984.87;9170.69;Trifásico;100
Empresa W;10030017;2023-01-01;2491.77;1892.66;;Bifásico;50
Empresa W;10030017;2023-02-01;2408.3;1821.61;;Bifásico;50
Empresa W;10030017;2023-03-01;2710.86;2660.86;;Bifásico;50
Empresa W;10030017;2023-04-01;2711.67;2661.67;;Bifásico;50
Empresa W;10030017;2023-05-01;3211.43;3161.43;;Bifásico;50
Empresa W;10030017;2023-06-01;1886.66;1836.66;;Bifásico;50
Empresa W;10030017;2023-07-01;1707.02;1393.02;;Bifásico;50
Empresa W;10030017;2023-08-01;1808.59;1758.59;;Bifásico;50
